attack,defense,metric
none,none,0.9249
FGSM (eps=0.01),none,0.0837
FGSM (eps=0.01),"GaussianSmoothing (k=3, sigma=0.2)",0.0837
FGSM (eps=0.01),"GaussianSmoothing (k=3, sigma=0.4)",0.0901
FGSM (eps=0.01),"GaussianSmoothing (k=3, sigma=0.6)",0.1708
FGSM (eps=0.01),"GaussianSmoothing (k=3, sigma=0.8)",0.2531
FGSM (eps=0.01),"GaussianSmoothing (k=5, sigma=0.2)",0.0837
FGSM (eps=0.01),"GaussianSmoothing (k=5, sigma=0.4)",0.0901
FGSM (eps=0.01),"GaussianSmoothing (k=5, sigma=0.6)",0.1733
FGSM (eps=0.01),"GaussianSmoothing (k=5, sigma=0.8)",0.2768
FGSM (eps=0.01),JpegCompression (q=50),0.4767
FGSM (eps=0.01),JpegCompression (q=70),0.3814
FGSM (eps=0.01),JpegCompression (q=90),0.2311
FGSM (eps=0.01),SpatialSmoothing (w=3),0.3254
FGSM (eps=0.01),SpatialSmoothing (w=5),0.4236
FGSM (eps=0.01),Total Variance Minimization (p=0.3),0.4343
FGSM (eps=0.02),none,0.0355
FGSM (eps=0.02),"GaussianSmoothing (k=3, sigma=0.2)",0.0355
FGSM (eps=0.02),"GaussianSmoothing (k=3, sigma=0.4)",0.0363
FGSM (eps=0.02),"GaussianSmoothing (k=3, sigma=0.6)",0.0547
FGSM (eps=0.02),"GaussianSmoothing (k=3, sigma=0.8)",0.0837
FGSM (eps=0.02),"GaussianSmoothing (k=5, sigma=0.2)",0.0355
FGSM (eps=0.02),"GaussianSmoothing (k=5, sigma=0.4)",0.0363
FGSM (eps=0.02),"GaussianSmoothing (k=5, sigma=0.6)",0.0554
FGSM (eps=0.02),"GaussianSmoothing (k=5, sigma=0.8)",0.0958
FGSM (eps=0.02),JpegCompression (q=50),0.1352
FGSM (eps=0.02),JpegCompression (q=70),0.0962
FGSM (eps=0.02),JpegCompression (q=90),0.0535
FGSM (eps=0.02),SpatialSmoothing (w=3),0.1192
FGSM (eps=0.02),SpatialSmoothing (w=5),0.2581
FGSM (eps=0.02),Total Variance Minimization (p=0.3),0.3580
