attack,defense,metric
none,none,0.9249
PGD (eps=0.01),none,0.1289
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.2)",0.1289
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.4)",0.1733
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.6)",0.3935
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.8)",0.4702
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.2)",0.1289
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.4)",0.1733
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.6)",0.3961
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.8)",0.4779
PGD (eps=0.01),JpegCompression (q=50),0.6317
PGD (eps=0.01),JpegCompression (q=70),0.5471
PGD (eps=0.01),JpegCompression (q=90),0.4492
PGD (eps=0.01),SpatialSmoothing (w=3),0.5134
PGD (eps=0.01),SpatialSmoothing (w=5),0.5006
PGD (eps=0.01),Total Variance Minimization (p=0.3),0.4616
PGD (eps=0.02),none,0.2092
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.2)",0.2092
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.4)",0.2508
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.6)",0.4361
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.8)",0.4923
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.2)",0.2092
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.4)",0.2508
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.6)",0.4377
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.8)",0.4919
PGD (eps=0.02),JpegCompression (q=50),0.4986
PGD (eps=0.02),JpegCompression (q=70),0.4228
PGD (eps=0.02),JpegCompression (q=90),0.3472
PGD (eps=0.02),SpatialSmoothing (w=3),0.5098
PGD (eps=0.02),SpatialSmoothing (w=5),0.4717
PGD (eps=0.02),Total Variance Minimization (p=0.3),0.4416
PGD (eps=0.03),none,0.2614
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.2)",0.2614
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.4)",0.3008
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.6)",0.4702
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.8)",0.5182
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.2)",0.2614
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.4)",0.3008
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.6)",0.4717
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.8)",0.5155
PGD (eps=0.03),JpegCompression (q=50),0.5142
PGD (eps=0.03),JpegCompression (q=70),0.4616
PGD (eps=0.03),JpegCompression (q=90),0.3996
PGD (eps=0.03),SpatialSmoothing (w=3),0.5272
PGD (eps=0.03),SpatialSmoothing (w=5),0.4825
PGD (eps=0.03),Total Variance Minimization (p=0.3),0.4474
PGD (eps=0.04),none,0.2785
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.2)",0.2785
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.4)",0.3145
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.6)",0.4703
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.8)",0.5159
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.2)",0.2785
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.4)",0.3145
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.6)",0.4720
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.8)",0.5166
PGD (eps=0.04),JpegCompression (q=50),0.4582
PGD (eps=0.04),JpegCompression (q=70),0.4193
PGD (eps=0.04),JpegCompression (q=90),0.3531
PGD (eps=0.04),SpatialSmoothing (w=3),0.5242
PGD (eps=0.04),SpatialSmoothing (w=5),0.4957
PGD (eps=0.04),Total Variance Minimization (p=0.3),0.4546
PGD (eps=0.05),none,0.2567
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.2)",0.2567
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.4)",0.2904
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.6)",0.4321
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.8)",0.4805
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.2)",0.2567
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.4)",0.2904
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.6)",0.4342
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.8)",0.4855
PGD (eps=0.05),JpegCompression (q=50),0.4526
PGD (eps=0.05),JpegCompression (q=70),0.4155
PGD (eps=0.05),JpegCompression (q=90),0.3424
PGD (eps=0.05),SpatialSmoothing (w=3),0.4908
PGD (eps=0.05),SpatialSmoothing (w=5),0.4979
PGD (eps=0.05),Total Variance Minimization (p=0.3),0.4567
PGD (eps=0.06),none,0.0508
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.2)",0.0508
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.4)",0.0661
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.6)",0.1918
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.8)",0.2869
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.2)",0.0508
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.4)",0.0661
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.6)",0.1953
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.8)",0.3095
PGD (eps=0.06),JpegCompression (q=50),0.2439
PGD (eps=0.06),JpegCompression (q=70),0.1946
PGD (eps=0.06),JpegCompression (q=90),0.1090
PGD (eps=0.06),SpatialSmoothing (w=3),0.3293
PGD (eps=0.06),SpatialSmoothing (w=5),0.4090
PGD (eps=0.06),Total Variance Minimization (p=0.3),0.4208
PGD (eps=0.07),none,0.0063
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.2)",0.0063
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.4)",0.0083
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.6)",0.0460
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.8)",0.1205
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.2)",0.0063
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.4)",0.0083
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.6)",0.0480
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.8)",0.1491
PGD (eps=0.07),JpegCompression (q=50),0.1025
PGD (eps=0.07),JpegCompression (q=70),0.0639
PGD (eps=0.07),JpegCompression (q=90),0.0198
PGD (eps=0.07),SpatialSmoothing (w=3),0.1798
