attack,defense,metric
none,none,0.9400
PGD (eps=0.01),none,0.1771
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.2)",0.1771
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.4)",0.2041
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.6)",0.4739
PGD (eps=0.01),"GaussianSmoothing (k=3, sigma=0.8)",0.5962
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.2)",0.1771
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.4)",0.2041
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.6)",0.4802
PGD (eps=0.01),"GaussianSmoothing (k=5, sigma=0.8)",0.6222
PGD (eps=0.01),JpegCompression (q=50),0.7431
PGD (eps=0.01),JpegCompression (q=70),0.7321
PGD (eps=0.01),JpegCompression (q=90),0.5851
PGD (eps=0.01),SpatialSmoothing (w=3),0.5858
PGD (eps=0.01),SpatialSmoothing (w=5),0.6558
PGD (eps=0.01),Total Variance Minimization (p=0.3),0.7339
PGD (eps=0.02),none,0.0910
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.2)",0.0910
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.4)",0.1069
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.6)",0.3478
PGD (eps=0.02),"GaussianSmoothing (k=3, sigma=0.8)",0.5160
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.2)",0.0910
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.4)",0.1069
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.6)",0.3546
PGD (eps=0.02),"GaussianSmoothing (k=5, sigma=0.8)",0.5532
PGD (eps=0.02),JpegCompression (q=50),0.5346
PGD (eps=0.02),JpegCompression (q=70),0.4896
PGD (eps=0.02),JpegCompression (q=90),0.2888
PGD (eps=0.02),SpatialSmoothing (w=3),0.5045
PGD (eps=0.02),SpatialSmoothing (w=5),0.6198
PGD (eps=0.02),Total Variance Minimization (p=0.3),0.7120
PGD (eps=0.03),none,0.0607
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.2)",0.0607
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.4)",0.0726
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.6)",0.2876
PGD (eps=0.03),"GaussianSmoothing (k=3, sigma=0.8)",0.4737
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.2)",0.0607
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.4)",0.0726
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.6)",0.2946
PGD (eps=0.03),"GaussianSmoothing (k=5, sigma=0.8)",0.5192
PGD (eps=0.03),JpegCompression (q=50),0.4939
PGD (eps=0.03),JpegCompression (q=70),0.4600
PGD (eps=0.03),JpegCompression (q=90),0.2810
PGD (eps=0.03),SpatialSmoothing (w=3),0.4699
PGD (eps=0.03),SpatialSmoothing (w=5),0.5999
PGD (eps=0.03),Total Variance Minimization (p=0.3),0.7044
PGD (eps=0.04),none,0.0490
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.2)",0.0490
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.4)",0.0588
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.6)",0.2574
PGD (eps=0.04),"GaussianSmoothing (k=3, sigma=0.8)",0.4528
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.2)",0.0490
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.4)",0.0588
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.6)",0.2642
PGD (eps=0.04),"GaussianSmoothing (k=5, sigma=0.8)",0.5030
PGD (eps=0.04),JpegCompression (q=50),0.3662
PGD (eps=0.04),JpegCompression (q=70),0.3350
PGD (eps=0.04),JpegCompression (q=90),0.1721
PGD (eps=0.04),SpatialSmoothing (w=3),0.4584
PGD (eps=0.04),SpatialSmoothing (w=5),0.5971
PGD (eps=0.04),Total Variance Minimization (p=0.3),0.7022
PGD (eps=0.05),none,0.0361
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.2)",0.0361
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.4)",0.0442
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.6)",0.2294
PGD (eps=0.05),"GaussianSmoothing (k=3, sigma=0.8)",0.4324
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.2)",0.0361
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.4)",0.0442
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.6)",0.2361
PGD (eps=0.05),"GaussianSmoothing (k=5, sigma=0.8)",0.4867
PGD (eps=0.05),JpegCompression (q=50),0.3541
PGD (eps=0.05),JpegCompression (q=70),0.3244
PGD (eps=0.05),JpegCompression (q=90),0.1715
PGD (eps=0.05),SpatialSmoothing (w=3),0.4370
PGD (eps=0.05),SpatialSmoothing (w=5),0.5948
PGD (eps=0.05),Total Variance Minimization (p=0.3),0.6949
PGD (eps=0.06),none,0.0009
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.2)",0.0009
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.4)",0.0011
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.6)",0.0369
PGD (eps=0.06),"GaussianSmoothing (k=3, sigma=0.8)",0.2031
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.2)",0.0009
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.4)",0.0011
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.6)",0.0400
PGD (eps=0.06),"GaussianSmoothing (k=5, sigma=0.8)",0.2817
PGD (eps=0.06),JpegCompression (q=50),0.1233
PGD (eps=0.06),JpegCompression (q=70),0.1053
PGD (eps=0.06),JpegCompression (q=90),0.0225
PGD (eps=0.06),SpatialSmoothing (w=3),0.2502
PGD (eps=0.06),SpatialSmoothing (w=5),0.5318
PGD (eps=0.06),Total Variance Minimization (p=0.3),0.6682
PGD (eps=0.07),none,0.0000
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.2)",0.0000
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.6)",0.0032
PGD (eps=0.07),"GaussianSmoothing (k=3, sigma=0.8)",0.0667
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.6)",0.0037
PGD (eps=0.07),"GaussianSmoothing (k=5, sigma=0.8)",0.1292
PGD (eps=0.07),JpegCompression (q=50),0.0379
PGD (eps=0.07),JpegCompression (q=70),0.0290
PGD (eps=0.07),JpegCompression (q=90),0.0027
PGD (eps=0.07),SpatialSmoothing (w=3),0.1127
PGD (eps=0.07),SpatialSmoothing (w=5),0.4554
PGD (eps=0.07),Total Variance Minimization (p=0.3),0.6294
PGD (eps=0.08),none,0.0000
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.2)",0.0000
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.6)",0.0001
PGD (eps=0.08),"GaussianSmoothing (k=3, sigma=0.8)",0.0127
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.6)",0.0002
PGD (eps=0.08),"GaussianSmoothing (k=5, sigma=0.8)",0.0391
PGD (eps=0.08),JpegCompression (q=50),0.0077
PGD (eps=0.08),JpegCompression (q=70),0.0045
PGD (eps=0.08),JpegCompression (q=90),0.0002
PGD (eps=0.08),SpatialSmoothing (w=3),0.0333
PGD (eps=0.08),SpatialSmoothing (w=5),0.3640
PGD (eps=0.08),Total Variance Minimization (p=0.3),0.5830
PGD (eps=0.09),none,0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.2)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.6)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=3, sigma=0.8)",0.0021
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.09),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
